                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                  1.171,                0.74987,                 1.2691,                0.89187,                 0.9052,                0.93964,                0.65878,                 1.0113,                0.59287,                 1.2567,             0.00087484,             0.00087484,             0.00087484
                     99,                 1.2001,                0.77526,                 1.2877,                0.87118,                0.91877,                0.94428,                0.66825,                 1.0345,                0.60106,                 1.2668,             0.00086659,             0.00086659,             0.00086659
                    100,                 1.1972,                0.76212,                 1.2964,                0.87823,                0.89272,                0.93904,                0.65869,                 1.0444,                0.59774,                 1.2832,             0.00085834,             0.00085834,             0.00085834
                    101,                 1.1879,                0.75538,                 1.2651,                0.88838,                0.91178,                 0.9496,                0.67479,                 1.0228,                0.57708,                 1.2675,             0.00085009,             0.00085009,             0.00085009
                    102,                 1.2015,                0.75268,                 1.2854,                0.86884,                0.90296,                0.94148,                0.66119,                  1.033,                0.59302,                 1.2721,             0.00084184,             0.00084184,             0.00084184
                    103,                 1.1617,                0.71338,                 1.2713,                0.88191,                0.91936,                0.94752,                0.67456,                 1.0186,                0.56981,                 1.2702,             0.00083358,             0.00083358,             0.00083358
                    104,                 1.1705,                0.72257,                 1.2772,                0.87608,                0.92738,                0.94774,                0.67573,                0.99131,                0.58613,                 1.2538,             0.00082533,             0.00082533,             0.00082533
                    105,                 1.1654,                0.73167,                 1.2674,                0.88413,                0.92787,                0.95546,                 0.6889,                0.98901,                0.55637,                  1.244,             0.00081708,             0.00081708,             0.00081708
                    106,                  1.173,                0.73521,                 1.2425,                0.88196,                0.90978,                0.94705,                0.67418,                 1.0026,                0.56695,                 1.2509,             0.00080883,             0.00080883,             0.00080883
                    107,                 1.1602,                0.72524,                 1.2744,                0.89614,                0.91616,                0.94686,                0.67615,                 1.0034,                0.56767,                 1.2542,             0.00080058,             0.00080058,             0.00080058
                    108,                  1.159,                0.72979,                 1.2733,                0.88412,                0.92454,                0.94856,                0.68197,                0.98064,                0.58959,                 1.2453,             0.00079233,             0.00079233,             0.00079233
                    109,                 1.1388,                 0.7267,                  1.239,                0.89237,                0.92334,                 0.9467,                0.67749,                0.99287,                0.57413,                 1.2528,             0.00078407,             0.00078407,             0.00078407
                    110,                 1.1553,                 0.7319,                  1.258,                0.87956,                0.89183,                0.93667,                0.67392,                0.99299,                0.58529,                 1.2404,             0.00077582,             0.00077582,             0.00077582
                    111,                 1.1488,                0.73552,                 1.2436,                0.87917,                0.92837,                0.95488,                0.69189,                0.98024,                0.55973,                 1.2362,             0.00076757,             0.00076757,             0.00076757
                    112,                 1.1367,                0.71328,                 1.2438,                0.88841,                0.92464,                0.95211,                0.68472,                0.98023,                0.55765,                 1.2386,             0.00075932,             0.00075932,             0.00075932
                    113,                 1.1599,                0.72806,                 1.2563,                 0.8982,                0.89912,                0.94599,                0.66571,                 1.0015,                0.57619,                 1.2598,             0.00075107,             0.00075107,             0.00075107
                    114,                 1.1514,                0.71044,                 1.2556,                0.90431,                0.92529,                0.95523,                0.69457,                0.96385,                0.54678,                 1.2293,             0.00074282,             0.00074282,             0.00074282
                    115,                 1.1745,                0.72944,                 1.2735,                0.90186,                0.90948,                0.95473,                  0.682,                 0.9958,                0.56096,                 1.2437,             0.00073456,             0.00073456,             0.00073456
                    116,                 1.1344,                0.71545,                 1.2534,                0.89932,                0.91454,                0.95239,                0.69508,                0.96513,                0.54534,                 1.2274,             0.00072631,             0.00072631,             0.00072631
                    117,                 1.1214,                0.69756,                 1.2397,                0.91129,                0.92883,                0.96204,                0.70673,                0.96165,                0.52721,                 1.2252,             0.00071806,             0.00071806,             0.00071806
                    118,                 1.1584,                0.70577,                 1.2595,                0.91133,                0.90982,                0.95537,                0.68542,                0.98651,                0.54381,                 1.2446,             0.00070981,             0.00070981,             0.00070981
                    119,                 1.1179,                0.69338,                  1.233,                0.90111,                0.93396,                0.96018,                0.70064,                0.94213,                0.52629,                 1.2101,             0.00070156,             0.00070156,             0.00070156
                    120,                 1.1305,                0.68939,                 1.2337,                0.90425,                0.92457,                0.96054,                 0.7038,                0.94312,                0.53577,                 1.2009,             0.00069331,             0.00069331,             0.00069331
                    121,                 1.1025,                0.68095,                 1.2175,                0.90498,                 0.9373,                0.95699,                0.69206,                0.96816,                0.53898,                 1.2242,             0.00068505,             0.00068505,             0.00068505
                    122,                 1.1108,                0.69438,                 1.2307,                0.90147,                0.92534,                0.95553,                0.70032,                0.94207,                0.53851,                 1.2052,              0.0006768,              0.0006768,              0.0006768
                    123,                 1.1232,                0.70385,                  1.243,                0.89906,                0.92942,                0.95982,                0.69935,                 0.9495,                 0.5245,                 1.2077,             0.00066855,             0.00066855,             0.00066855
                    124,                 1.1165,                0.69961,                 1.2528,                0.91553,                0.91389,                0.95699,                0.69203,                0.94373,                0.53319,                 1.2115,              0.0006603,              0.0006603,              0.0006603
                    125,                 1.1034,                0.66517,                 1.2252,                 0.9131,                 0.9271,                0.96386,                0.70706,                0.93487,                0.51027,                 1.2007,             0.00065205,             0.00065205,             0.00065205
                    126,                 1.1038,                0.67026,                 1.2333,                0.90601,                 0.9278,                 0.9633,                 0.7108,                0.93678,                0.51792,                 1.2033,              0.0006438,              0.0006438,              0.0006438
